Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C16, C17, C18, C20, C23, C26, C29, C3, C30, C35, C37, C39, C4, C6, C8",0603,19,10uF,
C10,0603,1,1uF,
"C12, C14, C19, C2, C21, C24, C25, C27, C28, C31, C36, C38, C40, C5, C7, C9",0603,16,0.1uF,
C22,0603,1,27pF,
"C32, C33",0603,2,22uF,
C34,0603,1,75pF,
"D1, D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D115, D117, D119, D12, D121, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91, D92, D93, D94, D95, D96, D97, D98, D99",LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,114,WS2812B,
"D23, D57",NCD0603W1,2,NCD0603W1,NCD0603W1
DC1,DC-005-A200,1,DC-005-A200,DC-005-A200
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,TOUCH1010MM,1,Conn_01x01_Pin,
L1,L_Wuerth_HCM-7070,1,10uH/3A,
"R1, R10, R11, R2, R27, R29, R3, R4, R7, R8, R9",0603,11,5K1,
"R12, R14",0603,2,100R,
R13,0603,1,1K,
R15,0603,1,100K,
R16,0603,1,13.3K,
"R18, R22, R23, R24, R5",0603,5,0R,
R26,0603,1,NC/5K1,
"SW1, SW2",TS-1187A-B-A-B,2,TS-1187A-B-A-B,TS-1187A-B-A-B
U1,ESP-12E,1,ESP-12F,
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,TTP223E-BA6,1,TTP223E-BA6,TTP223E-BA6
U4,SOT-23-6,1,TPS54302DDCR,
USB1,TYPE-C 6P,1,TYPE-C 6P,TYPE-C 6P
