Designator,Mid X,Mid Y,Rotation,Layer
C1,57.69,-28.1,90.0,bottom
C10,45.42,-84.85,270.0,bottom
C11,57.71,-61.275,90.0,bottom
C12,56.14,-61.245,90.0,bottom
C13,57.71,-80.405,90.0,bottom
C14,56.17,-80.38,90.0,bottom
C15,157.04,-91.25,270.0,bottom
C16,158.68,-91.25,270.0,bottom
C17,168.76,-88.56,0.0,bottom
C18,168.76,-90.03,0.0,bottom
C19,168.76,-91.61,0.0,bottom
C2,56.13,-28.09,90.0,bottom
C20,57.71,-88.275,90.0,bottom
C21,56.14,-88.245,90.0,bottom
C22,192.44,-100.076,270.0,bottom
C23,57.71,-106.785,90.0,bottom
C24,56.14,-106.755,90.0,bottom
C25,182.44,-98.645,180.0,bottom
C26,57.71,-113.275,90.0,bottom
C27,56.14,-113.245,90.0,bottom
C28,75.9825,-86.5675,180.0,bottom
C29,69.66,-82.2,270.0,bottom
C3,183.35,-92.935,90.0,bottom
C30,71.34,-82.2,270.0,bottom
C31,73.03,-82.2,270.0,bottom
C32,66.7,-77.71,0.0,bottom
C33,66.7,-79.32,0.0,bottom
C34,78.78,-81.33,0.0,bottom
C35,57.71,-132.325,90.0,bottom
C36,56.14,-132.33,90.0,bottom
C37,57.7,-139.275,90.0,bottom
C38,56.13,-139.28,90.0,bottom
C39,57.71,-158.1,90.0,bottom
C4,181.76,-92.935,90.0,bottom
C40,56.14,-158.105,90.0,bottom
C5,179.96,-92.935,90.0,bottom
C6,57.69,-34.775,90.0,bottom
C7,56.13,-34.765,90.0,bottom
C8,57.69,-54.485,90.0,bottom
C9,56.13,-54.475,90.0,bottom
D1,55.18,-23.63,180.0,top
D10,171.19,-23.63,180.0,top
D100,171.19,-128.006,180.0,top
D101,184.08,-128.006,180.0,top
D102,55.18,-141.053,0.0,top
D103,68.07,-141.053,0.0,top
D104,80.96,-141.053,0.0,top
D105,93.85,-141.053,0.0,top
D106,106.74,-141.053,0.0,top
D107,119.63,-141.053,0.0,top
D108,132.52,-141.053,0.0,top
D109,145.41,-141.053,0.0,top
D11,184.08,-23.63,180.0,top
D110,158.3,-141.053,0.0,top
D111,171.19,-141.053,0.0,top
D112,184.08,-141.053,0.0,top
D115,80.96,-154.1,180.0,top
D117,106.74,-154.1,180.0,top
D119,132.52,-154.1,180.0,top
D12,55.18,-36.677,0.0,top
D121,158.3,-154.1,180.0,top
D13,68.07,-36.677,0.0,top
D14,80.96,-36.677,0.0,top
D15,93.85,-36.677,0.0,top
D16,106.74,-36.677,0.0,top
D17,119.63,-36.677,0.0,top
D18,132.52,-36.677,0.0,top
D19,145.41,-36.677,0.0,top
D2,68.07,-23.63,180.0,top
D20,158.3,-36.677,0.0,top
D21,171.19,-36.677,0.0,top
D22,184.08,-36.677,0.0,top
D23,187.7,-92.95,270.0,bottom
D24,55.18,-49.724,180.0,top
D25,68.07,-49.724,180.0,top
D26,80.96,-49.724,180.0,top
D27,93.85,-49.724,180.0,top
D28,106.74,-49.724,180.0,top
D29,119.63,-49.724,180.0,top
D3,80.96,-23.63,180.0,top
D30,132.52,-49.724,180.0,top
D31,145.41,-49.724,180.0,top
D32,158.3,-49.724,180.0,top
D33,171.19,-49.724,180.0,top
D34,184.08,-49.724,180.0,top
D35,55.18,-62.771,0.0,top
D36,68.07,-62.771,0.0,top
D37,80.96,-62.771,0.0,top
D38,93.85,-62.771,0.0,top
D39,106.74,-62.771,0.0,top
D4,93.85,-23.63,180.0,top
D40,119.63,-62.771,0.0,top
D41,132.52,-62.771,0.0,top
D42,145.41,-62.771,0.0,top
D43,158.3,-62.771,0.0,top
D44,171.19,-62.771,0.0,top
D45,184.08,-62.771,0.0,top
D46,55.18,-75.818,180.0,top
D47,68.07,-75.818,180.0,top
D48,80.96,-75.818,180.0,top
D49,93.85,-75.818,180.0,top
D5,106.74,-23.63,180.0,top
D50,106.74,-75.818,180.0,top
D51,119.63,-75.818,180.0,top
D52,132.52,-75.818,180.0,top
D53,145.41,-75.818,180.0,top
D54,158.3,-75.818,180.0,top
D55,171.19,-75.818,180.0,top
D56,184.08,-75.818,180.0,top
D57,168.84,-85.32,180.0,bottom
D58,55.18,-88.865,0.0,top
D59,68.07,-88.865,0.0,top
D6,119.63,-23.63,180.0,top
D60,80.96,-88.865,0.0,top
D61,93.85,-88.865,0.0,top
D62,106.74,-88.865,0.0,top
D63,119.63,-88.865,0.0,top
D64,132.52,-88.865,0.0,top
D65,145.41,-88.865,0.0,top
D66,158.3,-88.865,0.0,top
D67,171.19,-88.865,0.0,top
D68,184.08,-88.865,0.0,top
D69,55.18,-101.912,180.0,top
D7,132.52,-23.63,180.0,top
D70,68.07,-101.912,180.0,top
D71,80.96,-101.912,180.0,top
D72,93.85,-101.912,180.0,top
D73,106.74,-101.912,180.0,top
D74,119.63,-101.912,180.0,top
D75,132.52,-101.912,180.0,top
D76,145.41,-101.912,180.0,top
D77,158.3,-101.912,180.0,top
D78,171.19,-101.912,180.0,top
D79,184.08,-101.912,180.0,top
D8,145.41,-23.63,180.0,top
D80,55.18,-114.959,0.0,top
D81,68.07,-114.959,0.0,top
D82,80.96,-114.959,0.0,top
D83,93.85,-114.959,0.0,top
D84,106.74,-114.959,0.0,top
D85,119.63,-114.959,0.0,top
D86,132.52,-114.959,0.0,top
D87,145.41,-114.959,0.0,top
D88,158.3,-114.959,0.0,top
D89,171.19,-114.959,0.0,top
D9,158.3,-23.63,180.0,top
D90,184.08,-114.959,0.0,top
D91,55.18,-128.006,180.0,top
D92,68.07,-128.006,180.0,top
D93,80.96,-128.006,180.0,top
D94,93.85,-128.006,180.0,top
D95,106.74,-128.006,180.0,top
D96,119.63,-128.006,180.0,top
D97,132.52,-128.006,180.0,top
D98,145.41,-128.006,180.0,top
D99,158.3,-128.006,180.0,top
DC1,41.155,-74.83,270.0,bottom
J1,162.81,-68.58,90.0,bottom
J2,200.914,-104.14,0.0,bottom
L1,64.77,-84.98,90.0,bottom
R1,183.78,-67.96,270.0,bottom
R10,41.75,-84.85,90.0,bottom
R11,168.76,-86.92,180.0,bottom
R12,190.75,-100.076,270.0,bottom
R13,191.59,-96.27,0.0,bottom
R14,76.47,-80.52,270.0,bottom
R15,78.78,-79.85,180.0,bottom
R16,79.58,-83.78,270.0,bottom
R18,49.54,-155.36,180.0,bottom
R2,186.29,-67.96,270.0,bottom
R22,93.38,-152.15,180.0,bottom
R23,118.79,-152.15,180.0,bottom
R24,146.05,-152.15,180.0,bottom
R27,182.44,-95.51,180.0,bottom
R29,182.44,-100.2125,0.0,bottom
R3,192.78,-92.935,90.0,bottom
R4,190.27,-92.935,90.0,bottom
R5,191.99,-67.96,270.0,bottom
R7,186.08,-92.935,270.0,bottom
R8,181.93,-67.96,90.0,bottom
R9,43.37,-84.85,90.0,bottom
SW1,155.92,-77.38,0.0,bottom
SW2,166.01,-77.39,0.0,bottom
U1,190.53,-80.13,90.0,bottom
U2,163.41,-88.33,270.0,bottom
U3,187.18,-98.3,180.0,bottom
U4,75.9425,-84.0,0.0,bottom
USB1,41.67,-90.9355,0.0,bottom
